time-casa,gols,time-visitante,link,gols_casa,gols_visitante
Cruzeiro,1 x 1,América Mineiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-america-fc-minas-gerais-h2h-stats#5406675,1 , 1
Fluminense,1 x 0,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-fluminense-fc-h2h-stats#5406660,1 , 0
Santos,0 x 3,Cruzeiro,https://footystats.org/pt/brazil/santos-fc-sao-paulo-vs-cruzeiro-ec-h2h-stats#5406653,0 , 3
Cruzeiro,0 x 0,Bragantino,https://footystats.org/pt/brazil/cruzeiro-ec-vs-clube-atletico-bragantino-h2h-stats#5406645,0 , 0
Grêmio,3 x 0,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-gremio-fb-porto-alegrense-h2h-stats#5406636,3 , 0
Cruzeiro,1 x 1,Corinthians,https://footystats.org/pt/brazil/cruzeiro-ec-vs-sc-corinthians-paulista-h2h-stats#5406625,1 , 1
Palmeiras,1 x 0,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-se-palmeiras-h2h-stats#5406612,1 , 0
Cruzeiro,0 x 0,Botafogo,https://footystats.org/pt/brazil/cruzeiro-ec-vs-botafogo-fr-h2h-stats#5406605,0 , 0
Atlético PR,3 x 3,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-ca-paranaense-h2h-stats#5406597,3 , 3
Cruzeiro,0 x 1,Goiás,https://footystats.org/pt/brazil/cruzeiro-ec-vs-goias-ec-h2h-stats#5406585,0 , 1
Cruzeiro,0 x 0,Coritiba,https://footystats.org/pt/brazil/cruzeiro-ec-vs-coritiba-fbc-h2h-stats#5406575,0 , 0
Vasco da Gama,0 x 1,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-cr-vasco-da-gama-h2h-stats#5406561,0 , 1
Internacional,0 x 0,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-sc-internacional-h2h-stats#5406556,0 , 0
Cruzeiro,1 x 0,São Paulo,https://footystats.org/pt/brazil/cruzeiro-ec-vs-sao-paulo-fc-h2h-stats#5406545,1 , 0
Cruzeiro,0 x 1,Fortaleza,https://footystats.org/pt/brazil/cruzeiro-ec-vs-fortaleza-ec-h2h-stats#5406535,0 , 1
Bahia,2 x 2,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-ec-bahia-h2h-stats#5406528,2 , 2
Cruzeiro,0 x 1,Atlético Mineiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-ca-mineiro-h2h-stats#5406515,0 , 1
Flamengo,1 x 1,Cruzeiro,https://footystats.org/pt/brazil/cr-flamengo-vs-cruzeiro-ec-h2h-stats#5406500,1 , 1
Cruzeiro,0 x 1,Cuiabá,https://footystats.org/pt/brazil/cruzeiro-ec-vs-cuiaba-ec-h2h-stats#5406495,0 , 1
América Mineiro,0 x 4,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-america-fc-minas-gerais-h2h-stats#5406489,0 , 4
Cruzeiro,0 x 2,Fluminense,https://footystats.org/pt/brazil/cruzeiro-ec-vs-fluminense-fc-h2h-stats#5406475,0 , 2
Cruzeiro,2 x 1,Santos,https://footystats.org/pt/brazil/santos-fc-sao-paulo-vs-cruzeiro-ec-h2h-stats#5406465,2 , 1
Bragantino,0 x 3,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-clube-atletico-bragantino-h2h-stats#5406454,0 , 3
Cruzeiro,1 x 0,Grêmio,https://footystats.org/pt/brazil/cruzeiro-ec-vs-gremio-fb-porto-alegrense-h2h-stats#5406445,1 , 0
Corinthians,2 x 1,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-sc-corinthians-paulista-h2h-stats#5406433,2 , 1
Fluminense,0 x 2,Botafogo,https://footystats.org/pt/brazil/botafogo-fr-vs-fluminense-fc-h2h-stats#5406680,0 , 2
Cuiabá,3 x 0,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-cuiaba-ec-h2h-stats#5406679,3 , 0
Fluminense,1 x 0,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-fluminense-fc-h2h-stats#5406660,1 , 0
Vasco da Gama,4 x 2,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-cr-vasco-da-gama-h2h-stats#5406651,4 , 2
Fluminense,1 x 0,Fortaleza,https://footystats.org/pt/brazil/fluminense-fc-vs-fortaleza-ec-h2h-stats#5406640,1 , 0
Atlético PR,2 x 2,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-ca-paranaense-h2h-stats#5406637,2 , 2
Fluminense,3 x 1,América Mineiro,https://footystats.org/pt/brazil/fluminense-fc-vs-america-fc-minas-gerais-h2h-stats#5406620,3 , 1
Grêmio,2 x 1,Fluminense,https://footystats.org/pt/brazil/gremio-fb-porto-alegrense-vs-fluminense-fc-h2h-stats#5406616,2 , 1
Fluminense,2 x 1,Palmeiras,https://footystats.org/pt/brazil/fluminense-fc-vs-se-palmeiras-h2h-stats#5406600,2 , 1
Fluminense,1 x 0,Santos,https://footystats.org/pt/brazil/santos-fc-sao-paulo-vs-fluminense-fc-h2h-stats#5406590,1 , 0
Coritiba,2 x 0,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-coritiba-fbc-h2h-stats#5406587,2 , 0
Fluminense,0 x 0,Flamengo,https://footystats.org/pt/brazil/cr-flamengo-vs-fluminense-fc-h2h-stats#5406570,0 , 0
Fluminense,2 x 0,Internacional,https://footystats.org/pt/brazil/fluminense-fc-vs-sc-internacional-h2h-stats#5406560,2 , 0
São Paulo,1 x 0,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-sao-paulo-fc-h2h-stats#5406552,1 , 0
Fluminense,2 x 1,Bahia,https://footystats.org/pt/brazil/fluminense-fc-vs-ec-bahia-h2h-stats#5406540,2 , 1
Fluminense,1 x 1,Atlético Mineiro,https://footystats.org/pt/brazil/fluminense-fc-vs-ca-mineiro-h2h-stats#5406530,1 , 1
Goiás,2 x 2,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-goias-ec-h2h-stats#5406524,2 , 2
Fluminense,2 x 1,Bragantino,https://footystats.org/pt/brazil/fluminense-fc-vs-clube-atletico-bragantino-h2h-stats#5406510,2 , 1
Corinthians,2 x 0,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-sc-corinthians-paulista-h2h-stats#5406503,2 , 0
Botafogo,1 x 0,Fluminense,https://footystats.org/pt/brazil/botafogo-fr-vs-fluminense-fc-h2h-stats#5406491,1 , 0
Fluminense,2 x 0,Cuiabá,https://footystats.org/pt/brazil/fluminense-fc-vs-cuiaba-ec-h2h-stats#5406480,2 , 0
Cruzeiro,0 x 2,Fluminense,https://footystats.org/pt/brazil/cruzeiro-ec-vs-fluminense-fc-h2h-stats#5406475,0 , 2
Fluminense,1 x 1,Vasco da Gama,https://footystats.org/pt/brazil/fluminense-fc-vs-cr-vasco-da-gama-h2h-stats#5406460,1 , 1
Fortaleza,4 x 2,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-fortaleza-ec-h2h-stats#5406458,4 , 2
Fluminense,2 x 0,Atlético PR,https://footystats.org/pt/brazil/fluminense-fc-vs-ca-paranaense-h2h-stats#5406440,2 , 0
América Mineiro,0 x 3,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-america-fc-minas-gerais-h2h-stats#5406439,0 , 3
Corinthians,1 x 1,Flamengo,https://footystats.org/pt/brazil/cr-flamengo-vs-sc-corinthians-paulista-h2h-stats#5406683,1 , 1
São Paulo,2 x 1,Corinthians,https://footystats.org/pt/brazil/sao-paulo-fc-vs-sc-corinthians-paulista-h2h-stats#5406672,2 , 1
Corinthians,1 x 0,Botafogo,https://footystats.org/pt/brazil/botafogo-fr-vs-sc-corinthians-paulista-h2h-stats#5406663,1 , 0
Corinthians,4 x 4,Grêmio,https://footystats.org/pt/brazil/gremio-fb-porto-alegrense-vs-sc-corinthians-paulista-h2h-stats#5406573,4 , 4
Fortaleza,2 x 1,Corinthians,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-fortaleza-ec-h2h-stats#5406658,2 , 1
Corinthians,0 x 0,Palmeiras,https://footystats.org/pt/brazil/se-palmeiras-vs-sc-corinthians-paulista-h2h-stats#5406643,0 , 0
Corinthians,1 x 1,Goiás,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-goias-ec-h2h-stats#5406633,1 , 1
Cruzeiro,1 x 1,Corinthians,https://footystats.org/pt/brazil/cruzeiro-ec-vs-sc-corinthians-paulista-h2h-stats#5406625,1 , 1
Corinthians,3 x 1,Coritiba,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-coritiba-fbc-h2h-stats#5406613,3 , 1
Internacional,2 x 2,Corinthians,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-sc-internacional-h2h-stats#5406606,2 , 2
Corinthians,3 x 1,Vasco da Gama,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-cr-vasco-da-gama-h2h-stats#5406593,3 , 1
Bahia,0 x 0,Corinthians,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-ec-bahia-h2h-stats#5406588,0 , 0
Atlético Mineiro,0 x 1,Corinthians,https://footystats.org/pt/brazil/ca-mineiro-vs-sc-corinthians-paulista-h2h-stats#5406565,0 , 1
Corinthians,0 x 1,Bragantino,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-clube-atletico-bragantino-h2h-stats#5406553,0 , 1
Atlético PR,1 x 0,Corinthians,https://footystats.org/pt/brazil/ca-paranaense-vs-sc-corinthians-paulista-h2h-stats#5406547,1 , 0
Santos,0 x 2,Corinthians,https://footystats.org/pt/brazil/santos-fc-sao-paulo-vs-sc-corinthians-paulista-h2h-stats#5406533,0 , 2
Corinthians,1 x 1,Cuiabá,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-cuiaba-ec-h2h-stats#5406523,1 , 1
América Mineiro,2 x 0,Corinthians,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-america-fc-minas-gerais-h2h-stats#5406519,2 , 0
Corinthians,2 x 0,Fluminense,https://footystats.org/pt/brazil/fluminense-fc-vs-sc-corinthians-paulista-h2h-stats#5406503,2 , 0
Flamengo,1 x 0,Corinthians,https://footystats.org/pt/brazil/cr-flamengo-vs-sc-corinthians-paulista-h2h-stats#5406490,1 , 0
Corinthians,1 x 1,São Paulo,https://footystats.org/pt/brazil/sao-paulo-fc-vs-sc-corinthians-paulista-h2h-stats#5406483,1 , 1
Botafogo,3 x 0,Corinthians,https://footystats.org/pt/brazil/botafogo-fr-vs-sc-corinthians-paulista-h2h-stats#5406471,3 , 0
Corinthians,1 x 1,Fortaleza,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-fortaleza-ec-h2h-stats#5406463,1 , 1
Palmeiras,2 x 1,Corinthians,https://footystats.org/pt/brazil/se-palmeiras-vs-sc-corinthians-paulista-h2h-stats#5406452,2 , 1
Goiás,3 x 1,Corinthians,https://footystats.org/pt/brazil/sc-corinthians-paulista-vs-goias-ec-h2h-stats#5406444,3 , 1
Corinthians,2 x 1,Cruzeiro,https://footystats.org/pt/brazil/cruzeiro-ec-vs-sc-corinthians-paulista-h2h-stats#5406433,2 , 1
